png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub08_H/sir_21/trial_17_l.png,tempgraphs/Sub08_H/sir_21/trial_17_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_l_segmented.csv,created: exact completed-graph display transform,3.53,9.35
Sub08_H/sir_21/trial_17_r.png,tempgraphs/Sub08_H/sir_21/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_17_r_segmented.csv,created: exact completed-graph display transform,3.53,9.35
Sub08_H/sir_21/trial_19_l.png,tempgraphs/Sub08_H/sir_21/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_l_segmented.csv,created: exact completed-graph display transform,4.20,6.16
Sub08_H/sir_21/trial_19_r.png,tempgraphs/Sub08_H/sir_21/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_19_r_segmented.csv,created: exact completed-graph display transform,4.20,6.16
Sub08_H/sir_21/trial_20_l.png,tempgraphs/Sub08_H/sir_21/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_l_segmented.csv,created: exact completed-graph display transform,2.57,6.96
Sub08_H/sir_21/trial_20_r.png,tempgraphs/Sub08_H/sir_21/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_20_r_segmented.csv,created: exact completed-graph display transform,2.57,6.96
Sub01_A/jitu_1/trial_01_l.png,tempgraphs/sub01_a/jitu_1/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,3.73,6.51
Sub01_A/jitu_1/trial_01_r.png,tempgraphs/sub01_a/jitu_1/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,3.73,6.51
Sub01_A/jitu_1/trial_02_l.png,tempgraphs/sub01_a/jitu_1/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_l_segmented.csv,created: exact completed-graph display transform,3.00,6.6
Sub01_A/jitu_1/trial_02_r.png,tempgraphs/sub01_a/jitu_1/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_02_r_segmented.csv,created: exact completed-graph display transform,3.00,6.6
Sub01_A/jitu_1/trial_03_l.png,tempgraphs/sub01_a/jitu_1/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_l_segmented.csv,created: exact completed-graph display transform,2.98,5.87
Sub01_A/jitu_1/trial_03_r.png,tempgraphs/sub01_a/jitu_1/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_03_r_segmented.csv,created: exact completed-graph display transform,2.98,5.87
